# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_008931805.1	PRJNA558324	SAMN12502771	NA	representative genome	1202962	90736	Moritella marina ATCC 15381	strain=MP-1	NA	latest	Complete Genome	Major	Full	2019-10-09	ASM893180v1	University hospital Essen	GCF_008931805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/931/805/GCA_008931805.1_ASM893180v1	NA	assembly from type material
GCA_000742835.1	PRJNA254818	SAMN02911856	NA	na	91604	91604	Candidatus Paracaedibacter acanthamoebae	NA	PRA3	latest	Complete Genome	Major	Full	2014-08-21	ASM74283v1	University of Virginia	GCF_000742835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/835/GCA_000742835.1_ASM74283v1	NA	NA
GCA_001547995.1	PRJDB519	SAMD00019081	NA	representative genome	1231624	91915	Asaia bogorensis NBRC 16594	strain=NBRC 16594	NA	latest	Complete Genome	Major	Full	2015-10-15	ASM154799v1	Kinki University	GCF_001547995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/547/995/GCA_001547995.1_ASM154799v1	NA	assembly from type material
GCA_000227665.3	PRJNA52553	SAMN02256538	NA	representative genome	717772	92245	Thiomicrospira aerophila AL3	strain=AL3	NA	latest	Complete Genome	Major	Full	2014-01-03	ASM22766v3	DOE Joint Genome Institute	GCF_000227665.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/665/GCA_000227665.3_ASM22766v3	NA	assembly from type material
GCA_003285045.1	PRJNA477457	SAMN09469947	NA	representative genome	92400	92400	Mycoplasma anseris	strain=ATCC 49234	NA	latest	Complete Genome	Major	Full	2018-07-01	ASM328504v1	Centre for Agricultural Research, Hungarian Academy of Sciences	GCF_003285045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/285/045/GCA_003285045.1_ASM328504v1	NA	assembly from type material
GCA_003269445.1	PRJNA472475	SAMN09237270	NA	na	92401	92401	Mycoplasma cloacale	strain=NCTC 10199	NA	latest	Complete Genome	Major	Full	2018-06-28	ASM326944v1	Centre for Agricultural Research, Hungarian Academy of Sciences	GCF_003269445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/269/445/GCA_003269445.1_ASM326944v1	NA	assembly from type material
GCA_900660735.1	PRJEB6403	SAMEA104210811	NA	representative genome	92401	92401	Mycoplasma cloacale	strain=NCTC10199	NA	latest	Complete Genome	Major	Full	2019-01-29	57675_B02-3	SC	GCF_900660735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/660/735/GCA_900660735.1_57675_B02-3	NA	assembly from type material
GCA_002591335.1	PRJNA396489	SAMN07427119	NA	representative genome	92644	92644	Streptomyces malaysiensis	strain=DSM 4137	NA	latest	Complete Genome	Major	Full	2017-10-18	ASM259133v1	University of Cambridge	GCF_002591335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/591/335/GCA_002591335.1_ASM259133v1	NA	NA
GCA_006974005.1	PRJNA475126	SAMN09380016	NA	na	92644	92644	Streptomyces malaysiensis	strain=DSM 4137	NA	latest	Complete Genome	Major	Full	2019-07-15	ASM697400v1	Warp Drive Bio	GCF_006974005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/974/005/GCA_006974005.1_ASM697400v1	NA	NA
GCA_000987865.1	PRJNA279429	SAMN03494310	NA	na	92706	92706	[Brevibacterium] flavum	strain=ATCC 15168	NA	latest	Complete Genome	Major	Full	2015-05-04	ASM98786v1	KRIBB	GCF_000987865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/865/GCA_000987865.1_ASM98786v1	NA	NA
GCA_001683055.1	PRJNA175240	SAMN05366914	NA	na	1232385	92706	[Brevibacterium] flavum ZL-1	strain=ZL-1	NA	latest	Complete Genome	Major	Full	2016-07-11	ASM168305v1	Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences	GCF_001683055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/055/GCA_001683055.1_ASM168305v1	NA	NA
GCA_000164885.1	PRJNA51787	SAMN02603012	NA	representative genome	880591	92945	Ketogulonicigenium vulgare Y25	strain=Y25	NA	latest	Complete Genome	Major	Full	2010-10-15	ASM16488v1	Beijing Institute of Biotechnology	GCF_000164885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/885/GCA_000164885.1_ASM16488v1	NA	NA
GCA_000223375.1	PRJNA48079	SAMN02603460	NA	na	759362	92945	Ketogulonicigenium vulgare WSH-001	strain=WSH-001	NA	latest	Complete Genome	Major	Full	2011-08-12	ASM22337v1	Jiangnan University	GCF_000223375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/375/GCA_000223375.1_ASM22337v1	NA	NA
GCA_001399515.1	PRJNA298454	SAMN04159244	NA	na	92945	92945	Ketogulonicigenium vulgare	strain=Hbe602	NA	latest	Complete Genome	Major	Full	2015-10-19	ASM139951v1	Tianjin University	GCF_001399515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/399/515/GCA_001399515.1_ASM139951v1	NA	NA
GCA_001693655.1	PRJNA329028	SAMN05390006	NA	na	92945	92945	Ketogulonicigenium vulgare	strain=SKV	NA	latest	Complete Genome	Major	Full	2016-07-26	ASM169365v1	Tianjin University	GCF_001693655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/655/GCA_001693655.1_ASM169365v1	NA	NA
GCA_001855295.1	PRJNA329562	SAMN05425368	NA	na	92945	92945	Ketogulonicigenium vulgare	strain=SPU B805	NA	latest	Complete Genome	Major	Full	2016-10-27	ASM185529v1	Shenyang Pharmaceutical University	GCF_001855295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/855/295/GCA_001855295.1_ASM185529v1	NA	NA
GCA_002117445.1	PRJNA359416	SAMN06191729	NA	representative genome	92947	92947	Ketogulonicigenium robustum	strain=SPU_B003	NA	latest	Complete Genome	Major	Full	2017-05-02	ASM211744v1	Shenyang Pharmaceutical University	GCF_002117445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/117/445/GCA_002117445.1_ASM211744v1	NA	NA
GCA_001922385.1	PRJNA445389	SAMN06040428	NA	representative genome	93064	93064	Sphingomonas koreensis	strain=ABOJV	NA	latest	Complete Genome	Major	Full	2016-12-27	ASM192238v1	NHGRI	GCF_001922385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/922/385/GCA_001922385.1_ASM192238v1	NA	NA
GCA_000826965.4	PRJNA271830	SAMN03278108	NA	na	93218	93218	Pandoraea apista	strain=TF81F4	NA	latest	Complete Genome	Major	Full	2018-05-01	ASM82696v4	UCSF	GCF_000826965.5	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/965/GCA_000826965.4_ASM82696v4	NA	NA
GCA_001010785.2	PRJNA281013	SAMN03481316	NA	na	93218	93218	Pandoraea apista	strain=TF80G25	NA	latest	Complete Genome	Major	Full	2018-05-01	ASM101078v2	UCSF	GCF_001010785.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/785/GCA_001010785.2_ASM101078v2	NA	NA
GCA_001027265.1	PRJNA284212	SAMN03699824	NA	na	93218	93218	Pandoraea apista	strain=AU2161	NA	latest	Complete Genome	Major	Full	2015-06-03	ASM102726v1	UCSF	GCF_001027265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/265/GCA_001027265.1_ASM102726v1	NA	NA
GCA_001465595.2	PRJNA305052	SAMN04316586	NA	representative genome	93218	93218	Pandoraea apista	strain=DSM 16535	NA	latest	Complete Genome	Major	Full	2016-12-05	ASM146559v2	University of Malaya	GCF_001465595.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/595/GCA_001465595.2_ASM146559v2	NA	assembly from type material
GCA_002951195.1	PRJNA231221	SAMN03996272	NA	na	93218	93218	Pandoraea apista	strain=FDAARGOS_126	NA	latest	Complete Genome	Major	Full	2018-02-20	ASM295119v1	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCF_002951195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/195/GCA_002951195.1_ASM295119v1	NA	NA
GCA_001465545.3	PRJNA305058	SAMN04316854	NA	representative genome	93219	93219	Pandoraea norimbergensis	strain=DSM 11628	NA	latest	Complete Genome	Major	Full	2016-10-20	ASM146554v3	University of Malaya	GCF_001465545.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/545/GCA_001465545.3_ASM146554v3	NA	assembly from type material
GCA_000504585.2	PRJNA230133	SAMN02427182	NA	na	93220	93220	Pandoraea pnomenusa	strain=RB-44	NA	latest	Complete Genome	Major	Full	2016-11-17	ASM50458v2	University of malaya	GCF_000504585.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/585/GCA_000504585.2_ASM50458v2	NA	NA
GCA_000590495.2	PRJNA226227	SAMN02401957	NA	na	1416914	93220	Pandoraea pnomenusa 3kgm	strain=3kgm	NA	latest	Complete Genome	Major	Full	2014-09-04	ASM59049v2	UNIVERSITY OF MALAYA	GCF_000590495.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/495/GCA_000590495.2_ASM59049v2	NA	NA
GCA_000604065.3	PRJNA242373	SAMN02693467	NA	na	93220	93220	Pandoraea pnomenusa	strain=RB38	NA	latest	Complete Genome	Major	Full	2016-03-21	ASM60406v3	University of Malaya	GCF_000604065.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/065/GCA_000604065.3_ASM60406v3	NA	NA
GCA_000767615.3	PRJNA261997	SAMN03078809	NA	representative genome	93220	93220	Pandoraea pnomenusa	strain=DSM 16536	NA	latest	Complete Genome	Major	Full	2016-08-18	ASM76761v3	University of Malaya	GCF_000767615.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/615/GCA_000767615.3_ASM76761v3	NA	assembly from type material
GCA_001636275.1	PRJNA319140	SAMN04889867	NA	na	93220	93220	Pandoraea pnomenusa	strain=MCB032	NA	latest	Complete Genome	Major	Full	2016-05-03	ASM163627v1	Wuhan Institute of Virology, Chinese Academy of Sciences	GCF_001636275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/275/GCA_001636275.1_ASM163627v1	NA	NA
GCA_006547005.1	PRJNA550486	SAMN12130708	NA	na	93220	93220	Pandoraea pnomenusa	strain=M202	NA	latest	Complete Genome	Major	Full	2019-07-03	ASM654700v1	Shandong First Medical University	GCF_006547005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/547/005/GCA_006547005.1_ASM654700v1	NA	NA
GCA_007833125.1	PRJNA556667	SAMN12362283	NA	na	93220	93220	Pandoraea pnomenusa	strain=TF-18	NA	latest	Complete Genome	Major	Full	2019-08-04	ASM783312v1	Colorado State University	GCF_007833125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/833/125/GCA_007833125.1_ASM783312v1	NA	NA
GCA_000815105.2	PRJNA270151	SAMN03263587	NA	representative genome	93221	93221	Pandoraea pulmonicola	strain=DSM 16583	NA	latest	Complete Genome	Major	Full	2016-11-17	ASM81510v2	University of Malaya	GCF_000815105.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/815/105/GCA_000815105.2_ASM81510v2	NA	assembly from type material
GCA_000814845.2	PRJNA262705	SAMN03085484	NA	representative genome	93222	93222	Pandoraea sputorum	strain=DSM 21091	NA	latest	Complete Genome	Major	Full	2016-11-17	ASM81484v2	University of Malaya	GCF_000814845.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/845/GCA_000814845.2_ASM81484v2	NA	assembly from type material
GCA_900187205.1	PRJEB6403	SAMEA4530655	NA	na	93222	93222	Pandoraea sputorum	strain=NCTC13161	NA	latest	Complete Genome	Major	Full	2017-08-15	52191_D01	SC	GCF_900187205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/205/GCA_900187205.1_52191_D01	NA	assembly from type material
GCA_001761405.1	PRJNA325544	SAMN05240577	NA	representative genome	93378	93378	Edwardsiella hoshinae	strain=ATCC 35051	NA	latest	Complete Genome	Major	Full	2016-10-12	ASM176140v1	Mississippi State University	GCF_001761405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/761/405/GCA_001761405.1_ASM176140v1	NA	NA
GCA_000235405.3	PRJNA60139	SAMN02232021	NA	representative genome	771875	93466	Fervidobacterium pennivorans DSM 9078	strain=DSM 9078	NA	latest	Complete Genome	Major	Full	2012-04-02	ASM23540v3	DOE Joint Genome Institute	GCF_000235405.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/405/GCA_000235405.3_ASM23540v3	NA	assembly from type material
GCA_001644665.1	PRJNA257745	SAMN02954477	NA	na	93466	93466	Fervidobacterium pennivorans	strain=DYC	NA	latest	Complete Genome	Major	Full	2016-05-16	ASM164466v1	University of Manitoba	GCF_001644665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/644/665/GCA_001644665.1_ASM164466v1	NA	NA
GCA_000016785.1	PRJNA17089	SAMN02598377	NA	representative genome	390874	93929	Thermotoga petrophila RKU-1	strain=RKU-1	NA	latest	Complete Genome	Major	Full	2007-05-18	ASM1678v1	US DOE Joint Genome Institute	GCF_000016785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/785/GCA_000016785.1_ASM1678v1	NA	assembly from type material
GCA_000025105.1	PRJNA33663	SAMN02598505	NA	representative genome	590168	93930	Thermotoga naphthophila RKU-10	strain=RKU-10	NA	latest	Complete Genome	Major	Full	2009-12-18	ASM2510v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000025105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/105/GCA_000025105.1_ASM2510v1	NA	assembly from type material
GCA_002075795.1	PRJNA380174	SAMN06628905	NA	representative genome	93973	93973	Shewanella japonica	strain=KCTC 22435	NA	latest	Complete Genome	Major	Full	2017-03-31	ASM207579v1	Korea Polar Research Institute	GCF_002075795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/075/795/GCA_002075795.1_ASM207579v1	NA	assembly from type material
GCA_000203935.1	PRJNA13905	SAMN02598318	NA	na	94122	94122	Shewanella sp. ANA-3	strain=ANA-3	NA	latest	Complete Genome	Major	Full	2006-11-08	ASM20393v1	DOE Joint Genome Institute	GCF_000203935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/935/GCA_000203935.1_ASM20393v1	NA	NA
GCA_000215705.1	PRJNA16294	SAMN02603053	NA	representative genome	365046	94132	Ramlibacter tataouinensis TTB310	strain=TTB310	NA	latest	Complete Genome	Major	Full	2011-06-03	ASM21570v1	CEA-CNRS	GCF_000215705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/705/GCA_000215705.1_ASM21570v1	NA	assembly from type material
GCA_001580455.1	PRJNA275370	SAMN03342428	NA	na	94132	94132	Ramlibacter tataouinensis	strain=5-10	NA	latest	Complete Genome	Major	Full	2016-03-07	ASM158045v1	Chung-Ang University	GCF_001580455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/580/455/GCA_001580455.1_ASM158045v1	NA	NA
GCA_000023125.1	PRJNA20829	SAMN02598437	NA	representative genome	471854	94254	Dyadobacter fermentans DSM 18053	strain=DSM 18053	NA	latest	Complete Genome	Major	Full	2009-07-31	ASM2312v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000023125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/125/GCA_000023125.1_ASM2312v1	NA	assembly from type material
GCA_000067205.1	PRJNA28135	SAMEA3138272	NA	representative genome	94624	94624	Bordetella petrii	strain=DSM 12804	NA	latest	Complete Genome	Major	Full	2007-12-18	ASM6720v1	Bielefeld Univ	GCF_000067205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/067/205/GCA_000067205.1_ASM6720v1	NA	assembly from type material
GCA_012971725.1	PRJNA606475	SAMN14091588	NA	na	95301	95301	Pseudomonas multiresinivorans	strain=populi	NA	latest	Complete Genome	Major	Full	2020-05-04	ASM1297172v1	Oak Ridge National Laboratory	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/971/725/GCA_012971725.1_ASM1297172v1	NA	NA
GCA_001742165.1	PRJNA328254	SAMN05367054	NA	representative genome	95485	95485	Burkholderia stabilis	strain=ATCC BAA-67	NA	latest	Complete Genome	Major	Full	2016-09-22	ASM174216v1	Centers for Disease Control and Prevention	GCF_001742165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/742/165/GCA_001742165.1_ASM174216v1	NA	assembly from type material
GCA_002356275.1	PRJDB5640	SAMD00078039	NA	na	95485	95485	Burkholderia stabilis	strain=FERMP-21014	NA	latest	Complete Genome	Major	Full	2017-05-20	ASM235627v1	Fermlab Inc.	GCF_002356275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/275/GCA_002356275.1_ASM235627v1	NA	NA
GCA_000009485.1	PRJNA339	SAMEA1705928	NA	representative genome	216591	95486	Burkholderia cenocepacia J2315	strain=J2315	NA	latest	Complete Genome	Major	Full	2008-06-19	ASM948v1	Sanger Institute	GCF_000009485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/485/GCA_000009485.1_ASM948v1	NA	NA
GCA_000014085.1	PRJNA13919	SAMN02598326	NA	na	331271	95486	Burkholderia cenocepacia AU 1054	strain=AU 1054	NA	latest	Complete Genome	Major	Full	2006-06-01	ASM1408v1	DOE Joint Genome Institute	GCF_000014085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/085/GCA_000014085.1_ASM1408v1	NA	NA
GCA_000019505.1	PRJNA17929	SAMN02598404	NA	na	406425	95486	Burkholderia cenocepacia MC0-3	strain=MC0-3	NA	latest	Complete Genome	Major	Full	2008-03-13	ASM1950v1	US DOE Joint Genome Institute	GCF_000019505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/505/GCA_000019505.1_ASM1950v1	NA	NA
GCA_000203955.1	PRJNA13918	SAMN00113327	NA	na	331272	95486	Burkholderia cenocepacia HI2424	strain=HI2424	NA	latest	Complete Genome	Major	Full	2006-10-25	ASM20395v1	US DOE Joint Genome Institute	GCF_000203955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/955/GCA_000203955.1_ASM20395v1	NA	NA
GCA_000236215.4	PRJNA69823	SAMEA3138403	NA	na	1055524	95486	Burkholderia cenocepacia H111	strain=H111	NA	latest	Complete Genome	Major	Full	2014-04-25	ASM23621v4	University of Zurich	GCF_000236215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/215/GCA_000236215.4_ASM23621v4	NA	NA
GCA_000755725.1	PRJNA244014	SAMN02796386	NA	na	95486	95486	Burkholderia cenocepacia	strain=DDS 22E-1	NA	latest	Complete Genome	Major	Full	2014-09-18	ASM75572v1	Los Alamos National Laboratory	GCF_000755725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/725/GCA_000755725.1_ASM75572v1	NA	NA
GCA_000764955.1	PRJNA244015	SAMN02796570	NA	na	95486	95486	Burkholderia cenocepacia	strain=DWS 37E-2	NA	latest	Complete Genome	Major	Full	2014-09-18	ASM76495v1	Los Alamos National Laboratory	GCF_000764955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/764/955/GCA_000764955.1_ASM76495v1	NA	NA
GCA_001484665.1	PRJNA274219	SAMN03323790	NA	na	95486	95486	Burkholderia cenocepacia	strain=ST32	1232	latest	Complete Genome	Major	Full	2016-01-04	ASM148466v1	Institute of Molecular Genetics of the ASCR	GCF_001484665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/665/GCA_001484665.1_ASM148466v1	NA	NA
GCA_001606115.1	PRJNA315790	SAMN04570263	NA	na	95486	95486	Burkholderia cenocepacia	strain=842	NA	latest	Complete Genome	Major	Full	2016-04-04	ASM160611v1	University of Malaya	GCF_001606115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/115/GCA_001606115.1_ASM160611v1	NA	NA
GCA_001606135.1	PRJNA316047	SAMN04574071	NA	na	95486	95486	Burkholderia cenocepacia	strain=895	NA	latest	Complete Genome	Major	Full	2016-04-04	ASM160613v1	University of Malaya	GCF_001606135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/135/GCA_001606135.1_ASM160613v1	NA	NA
GCA_001718515.1	PRJNA279182	SAMN03449242	NA	na	95486	95486	Burkholderia cenocepacia	strain=FL-5-3-30-S1-D7	NA	latest	Complete Genome	Major	Full	2016-09-02	ASM171851v1	Northern Arizona University	GCF_001718515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/515/GCA_001718515.1_ASM171851v1	NA	NA
GCA_001718895.1	PRJNA279182	SAMN03449602	NA	na	95486	95486	Burkholderia cenocepacia	strain=MSMB384WGS	NA	latest	Complete Genome	Major	Full	2016-09-02	ASM171889v1	Northern Arizona University	GCF_001718895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/895/GCA_001718895.1_ASM171889v1	NA	NA
GCA_001999785.1	PRJNA289138	SAMN05001925	NA	na	95486	95486	Burkholderia cenocepacia	strain=VC7848	NA	latest	Complete Genome	Major	Full	2017-02-15	ASM199978v1	University of British Columbia	GCF_001999785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/785/GCA_001999785.1_ASM199978v1	NA	NA
GCA_001999825.1	PRJNA289138	SAMN05001933	NA	na	95486	95486	Burkholderia cenocepacia	strain=VC12802	NA	latest	Complete Genome	Major	Full	2017-02-15	ASM199982v1	University of British Columbia	GCF_001999825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/825/GCA_001999825.1_ASM199982v1	NA	NA
GCA_001999885.1	PRJNA289138	SAMN05001912	NA	na	95486	95486	Burkholderia cenocepacia	strain=VC12308	NA	latest	Complete Genome	Major	Full	2017-02-15	ASM199988v1	University of British Columbia	GCF_001999885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/885/GCA_001999885.1_ASM199988v1	NA	NA
GCA_002007585.1	PRJNA342374	SAMN05756084	NA	na	95486	95486	Burkholderia cenocepacia	strain=CR318	NA	latest	Complete Genome	Major	Full	2017-02-28	ASM200758v1	Agriculture and Agri-Food Canada	GCF_002007585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/585/GCA_002007585.1_ASM200758v1	NA	NA
GCA_003076415.1	PRJNA384579	SAMN06842015	NA	na	95486	95486	Burkholderia cenocepacia	strain=PC184 Mulks	NA	latest	Complete Genome	Major	Full	2018-05-01	ASM307641v1	Michigan State University	GCF_003076415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/076/415/GCA_003076415.1_ASM307641v1	NA	NA
GCA_003966315.1	PRJNA491642	SAMN10081159	NA	na	95486	95486	Burkholderia cenocepacia	strain=YG-3	NA	latest	Complete Genome	Major	Full	2018-12-24	ASM396631v1	Hunan University	GCF_003966315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/966/315/GCA_003966315.1_ASM396631v1	NA	NA
GCA_005931095.1	PRJNA515283	SAMN10752162	NA	representative genome	95641	95641	Methylomicrobium buryatense	strain=5GB1C	NA	latest	Complete Genome	Major	Full	2019-06-03	ASM593109v1	University of Washington	GCF_005931095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/931/095/GCA_005931095.1_ASM593109v1	NA	NA
GCA_000953135.1	PRJEB7322	SAMEA2785663	NA	representative genome	1212491	96230	Legionella fallonii LLAP-10	strain=LLAP-10	NA	latest	Complete Genome	Major	Full	2014-10-21	LFA	INSTITUT PASTEUR	GCF_000953135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/135/GCA_000953135.1_LFA	NA	assembly from type material
GCA_004768545.1	PRJNA525272	SAMN11045780	NA	na	96344	96344	Cupriavidus oxalaticus	strain=X32	NA	latest	Complete Genome	Major	Full	2019-04-10	ASM476854v1	China Agricultural University	GCF_004768545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/768/545/GCA_004768545.1_ASM476854v1	NA	NA
GCA_008807855.1	PRJNA488920	SAMN09945366	NA	representative genome	96344	96344	Cupriavidus oxalaticus	strain=T2	NA	latest	Complete Genome	Major	Full	2019-10-03	ASM880785v1	South China University of Technology	GCF_008807855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/807/855/GCA_008807855.1_ASM880785v1	NA	NA
GCA_000064305.2	PRJNA19979	SAMEA3138269	NA	na	402612	96345	Flavobacterium psychrophilum JIP02/86	strain=JIP02/86	NA	latest	Complete Genome	Major	Full	2013-05-30	ASM6430v2	I.N.R.A., FRANCE	GCF_000064305.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/064/305/GCA_000064305.2_ASM6430v2	NA	NA
GCA_000739395.1	PRJNA245044	SAMN02770278	NA	na	96345	96345	Flavobacterium psychrophilum	strain=CSF259-93	NA	latest	Complete Genome	Major	Full	2014-08-14	ASM73939v1	Igenbio, Inc	GCF_000739395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/395/GCA_000739395.1_ASM73939v1	NA	NA
GCA_000754365.1	PRJNA236036	SAMN03290989	NA	na	1452725	96345	Flavobacterium psychrophilum FPG101	strain=FPG101	NA	latest	Complete Genome	Major	Full	2014-09-12	ASM75436v1	Ontario Veterinary College, University of Guelph	GCF_000754365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/754/365/GCA_000754365.1_ASM75436v1	NA	NA
GCA_000754405.1	PRJNA236029	SAMN03290988	NA	representative genome	1452724	96345	Flavobacterium psychrophilum FPG3	strain=FPG3	NA	latest	Complete Genome	Major	Full	2014-09-12	ASM75440v1	Ontario Veterinary College, University of Guelph	GCF_000754405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/754/405/GCA_000754405.1_ASM75440v1	NA	assembly from type material
GCA_000767095.1	PRJNA254457	SAMN02903962	NA	na	96345	96345	Flavobacterium psychrophilum	strain=950106-1/1	NA	latest	Complete Genome	Major	Full	2014-10-16	ASM76709v1	University of Copenhagen	GCF_000767095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/095/GCA_000767095.1_ASM76709v1	NA	NA
